id,title,platform,role,url,releaseDate,featured,sortOrder,tag
prod001,「君、偏差値いくつ？」転校した学校が恐怖過ぎた… - CUL DRAMA,YouTube,撮影・編集・一部2Dモーショングラフィックス,https://www.youtube.com/watch?v=vTfn2sTcBh4,,FALSE,,ドラマ
prod002,「かわいいをスタート 2025 ver」- めるぷちofficial,YouTube,撮影補助・編集・2Dエフェクト・VFX,https://youtu.be/3tHl6a6tjMY?si=aaM1Ew-DB5zt-xMH,,FALSE,,MV・エンタメ
prod003,ファントムシータ【祝22歳】灯翠誕生日企画『お祝いください』 - ファントムシータ,YouTube,編集,https://www.youtube.com/watch?v=xDXpPpCxRuA&t=815s,,FALSE,,YouTube
prod004,第107回全国算数・数学教育研究大会シンポジウム - 日本数学教育学会,イベント配信,撮影・配信全般・デザイン,,,FALSE,,配信・アカデミック
prod005,【超豪華ゲスト】おしえて！よしお先輩スゴ技カーボンニュートラル - めるぷちofficial,YouTube,一部デザイン・編集,https://youtu.be/-0wMmS9Cg0w?si=dVal1zvP04E9SHmE,,FALSE,,プロモーション
prod006,「キスくらいできるもん!!」14歳女子と18歳男子が付き合った結果が…♡ - CUL DRAMA,YouTube,企画・監督・編集,https://www.youtube.com/watch?v=StRwGB4z9tM,,FALSE,,ドラマ
prod007,俺たちひたすらにバズりたい四人組・バズレンジャー！！！！！- コネシマex,YouTube,編集・サムネイル,https://youtu.be/wEv6s6ubGo0?si=n9VTKEzfJgjWYzfC,,FALSE,,YouTube
prod008,「Case01 ワゴン＆ハーフ＆ハーフ」- UndoneFilms,YouTube,Undoneオリジナルショートフィルム,https://youtu.be/DuthjfLFSKA?si=XAgYYlpdH3VxHljO,,FALSE,,オリジナル
prod009,「一緒に住む？」ホームレス女子がイケメン男子に拾われた結果…♡- CUL DRAMA,YouTube,編集・VFX,https://youtu.be/z5GoFAZUFVk?si=JCkxon17hUbZHgzZ,,FALSE,,ドラマ
prod010,「全員ヤバ過ぎ♡」もかの彼氏オーディションを開催した結果が… - CUL DRAMA,YouTube,企画・監督・編集,https://youtu.be/GSxGmBELksY?si=LRRUsTTLJfckTqMs,,FALSE,,ドラマ
prod011,「はぁ!?あんた誰!?」修学旅行をサボったらヤンキーと教室で2人きりになった結果…♡ - CUL DRAMA,YouTube,企画・監督・編集,https://youtu.be/Yf-x1o9uxJE,,FALSE,,ドラマ
prod012,「えぇ!?誰を選べばいいわけ!?」５人のイケメン男子から告白された結果…♡ - CUL DRAMA,YouTube,企画・監督・編集,https://youtu.be/_vD_UGqcZVw,,FALSE,,ドラマ
prod013,「なんで隠すんだよ!!」彼が付き合っていることを内緒にする。 - CUL DRAMA,YouTube,編集,https://youtu.be/O7RpyECuUM0,,FALSE,,ドラマ
prod014,「この落ちこぼれが!!」学級委員長にバカにされたのでやり返した結果...【復讐】 - CUL DRAMA,YouTube,制作,https://youtu.be/Ot47QXw_tfs,,FALSE,,ドラマ
prod015,「韓国男子ってアリ!?」推しの韓国人アイドルが転校してきた結果…♡ - CUL DRAMA,YouTube,制作,https://youtu.be/daThnF-NC7M,,FALSE,,ドラマ
prod016,「こんな恋愛おかしいよ!!」ヤンデレ彼氏と付き合ったらこうなる。 - CUL DRAMA,YouTube,制作,https://youtu.be/RXcBGKBqD00,,FALSE,,ドラマ
prod017,【ドラマ】「みんなの前で歌ってみろよw」いじめられっ子の大逆転...歌で見返した結果。,YouTube,監督・編集,https://youtu.be/yuQ0F9mgHv4,,FALSE,,ドラマ
prod018,【ドラマ】「お姉ちゃんには勝てないよ！」姉の男友達に恋をした結果...,YouTube,監督・編集,https://youtu.be/Nl5bPkDqdWE,,FALSE,,ドラマ
prod019,【ドラマ】「絶対許さないから!!」いじめられっ子が大変身して復讐した結果…【リメイク】,YouTube,監督のみ（リメイク）,https://youtu.be/Bi5a08QSPuY,,FALSE,,ドラマ
prod020,【ドラマ】「信じてたのに!!」親友に家族を壊された。,YouTube,監督・編集,https://youtu.be/RG7S6MunsWo,,FALSE,,ドラマ
prod021,【ドラマ】「全員退学にしてやろうか!!」理不尽パワハラ校長先生に復讐してみた結果…【復讐】,YouTube,監督・編集,https://youtu.be/aYnIy1wxGFI,,FALSE,,ドラマ
prod022,【ドラマ】「ムリっ!私には絶対無理!!」チキンな女子が勇気を出して告白した結果が…♡,YouTube,監督・編集,https://youtu.be/rscEsfsPYZY,,FALSE,,ドラマ
prod023,【ドラマ】「絶対許さないから!!」デブと馬鹿にされたので痩せて復讐した結果【復讐】,YouTube,監督・編集,https://youtu.be/dvhS_3eEtXY,,FALSE,,ドラマ
